"occurrenceID","IRN","Institution Code","Collection Code","Catalog Number","Taxonomic Name","Object Kind","Collector","DwC Locality","Country","State/Province","Latitude","Longitude","Lowest Biostratigraphic Zone","Earliest Period","Latest Period","Formation","Earliest Age"
"8edc0aed-f3f4-4880-8e0b-924c53e0b1d7","2476439","FMNH","Fossil Invertebrates","UC 32260","Eccyliomphalus","Hand Specimen","","Durham","Canada","Ontario","","","","Silurian","Silurian","","Niagaran"
"09887658-82d9-49aa-a1d5-769b2e6f3dc8","2476993","FMNH","Fossil Invertebrates","UC 32248","Euryzone axion (Hall, 1868)","Hand Specimen","","Durham","Canada","Ontario","","","","Silurian","Silurian","Guelph Dolomite","Niagaran"
"0ac8bbda-9645-4480-a4ec-ea2beed76508","2476994","FMNH","Fossil Invertebrates","UC 32249","Euryzone silurensis Wing, 1925","Hand Specimen","","Durham","Canada","Ontario","","","","Silurian","Silurian","Guelph Dolomite","Niagaran"
"bb8483bc-f779-4f4b-bbcb-da321b76bcf7","2476998","FMNH","Fossil Invertebrates","UC 32258","Euomphalus","Hand Specimen","","Durham","Canada","Ontario","","","","Silurian","Silurian","Guelph Dolomite","Niagaran"
"955e8ddc-22db-4136-a67f-0c6ac09b87d2","2477000","FMNH","Fossil Invertebrates","UC 32259","Euomphalus","Hand Specimen","","Durham","Canada","Ontario","","","","Silurian","Silurian","Guelph Dolomite","Niagaran"
"551c43e2-b832-4ef2-af3d-842cbf080989","2477962","FMNH","Fossil Invertebrates","UC 23123","Lophospira","Hand Specimen","","Elora","Canada","Ontario","","","","Silurian","Silurian","Guelph Dolomite","Niagaran"
"711a1404-d35a-4f80-ba31-7effc0280bbd","2477964","FMNH","Fossil Invertebrates","UC 23124","Coelocaulus","Hand Specimen","","Elora","Canada","Ontario","","","","Silurian","Silurian","","Niagaran"
"c0ff8704-8fad-49a4-9037-21a7f1ac2728","2477965","FMNH","Fossil Invertebrates","UC 23125","Coelocaulus","Hand Specimen","","Elora","Canada","Ontario","","","","Silurian","Silurian","","Niagaran"
"c9a6b8cf-0fe6-407b-9e31-c5c4e458d6d3","2477969","FMNH","Fossil Invertebrates","UC 23126","Coelocaulus","Hand Specimen","","Elora","Canada","Ontario","","","","Silurian","Silurian","","Niagaran"
"288ddccb-4314-4f25-9728-09eb3bcec04d","2477976","FMNH","Fossil Invertebrates","UC 23127","Coelocaulus turritiformis (Hall, 1852)","Hand Specimen","","Elora","Canada","Ontario","","","","Silurian","Silurian","Guelph Dolomite","Niagaran"
