Url,Type,Title,Publisher Place,Publisher,Date,Authors,Volume,Language,Pages
https://www.biodiversitylibrary.org/page/16703841,Book,"An Ecological survey in the eastern Chukchi Sea : September-October 1970  ","Washington, D.C",U.S. Coast Guard Oceanographic Unit,1972,"Ingham, Merton C.,      1930 -",,English,Page 192
https://www.biodiversitylibrary.org/page/40093431,Journal,"Memoirs of the Queensland Museum  ",Brisbane,Queensland Museum,1996,"Queensland Museum.       ",v.40 (1996),English,Page 482
https://www.biodiversitylibrary.org/page/27010994,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1953,"Smithsonian Institution       ",v.121 (1952-1955),English,Page 10
https://www.biodiversitylibrary.org/page/27010993,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1953,"Smithsonian Institution       ",v.121 (1952-1955),English,Page 9
https://www.biodiversitylibrary.org/page/27010987,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1953,"Smithsonian Institution       ",v.121 (1952-1955),English,Page 3
https://www.biodiversitylibrary.org/page/27008814,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1955,"Smithsonian Institution       ",v.128 (1955-1956),English,Page 76
https://www.biodiversitylibrary.org/page/27008803,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1955,"Smithsonian Institution       ",v.128 (1955-1956),English,Page 65
https://www.biodiversitylibrary.org/page/27008815,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1955,"Smithsonian Institution       ",v.128 (1955-1956),English,Page 77
https://www.biodiversitylibrary.org/page/27008887,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1955,"Smithsonian Institution       ",v.128 (1955-1956),English,Page 149
https://www.biodiversitylibrary.org/page/27008854,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1955,"Smithsonian Institution       ",v.128 (1955-1956),English,Page 116
https://www.biodiversitylibrary.org/page/27008810,Journal,"Smithsonian miscellaneous collections  ",Washington,Smithsonian Institution,1955,"Smithsonian Institution       ",v.128 (1955-1956),English,Page 72
https://www.biodiversitylibrary.org/page/5921405,Book,"The sponges of the west-central Pacific  ",Corvallis,Oregon State College,1957,"De Laubenfels, M. W.     (Max Walker), 1894 -1960",,English,Page 164
